price,price_m2,area_m2,address,url
,,Plotas,,
268 000 €,2 503                                    €/m²,107.1,Santariškės Dangeručio g.,https://www.aruodas.lt/butai-vilniuje-santariskese-dangerucio-g-pradejome-isskirtiniu-erdviu-kambariu-butu-1-3560313/?search_pos=1
1 079 500 €,7 600                                    €/m²,142,Senamiestis Žygimantų g.,https://www.aruodas.lt/butai-vilniuje-senamiestyje-zygimantu-g-prabangus-kambariu-butas-projekte-1-3550962/?search_pos=2
190 000 €,2 908                                    €/m²,65.3,Pilaitė Pilkalnio g.,https://www.aruodas.lt/butai-vilniuje-pilaiteje-pilkalnio-g-naujame-ir-moderniame-pilaites-projekte-1-3605858/?search_pos=3
349 000 €,2 569                                    €/m²,135.9,Antakalnis Stepono Kairio g.,https://www.aruodas.lt/butai-vilniuje-antakalnyje-stepono-kairio-g-ramybe-alsuojantis-butas-su-kiemeliu-1-3594203/?search_pos=4
139 000 €,3 243                                    €/m²,42.9,Lazdynėliai Lazdynėlių g.,https://www.aruodas.lt/butai-vilniuje-lazdyneliuose-lazdyneliu-g-parduodamas-dvieju-kambariu-kv-m-1-3544242/?search_pos=5
449 000 €,6 456                                    €/m²,69.6,Senamiestis Žygimantų g.,https://www.aruodas.lt/butai-vilniuje-senamiestyje-zygimantu-g-bellini-butai-gyvenimo-dirigentams-bellini-1-3557516/?search_pos=6
154 500 €,4 400                                    €/m²,35.1,Šnipiškės Linkmenų g.,https://www.aruodas.lt/butai-vilniuje-snipiskese-linkmenu-g-parduodamas-kompaktiskas-jaukus-butas-naujai-1-3594477/?search_pos=7
212 000 €,4 966                                    €/m²,42.7,Žirmūnai Tuskulėnų g.,https://www.aruodas.lt/butai-vilniuje-zirmunuose-tuskulenu-g-parduodamas-jaukus-butas-per-du-aukstus-1-3603064/?search_pos=8
200 600 €,5 231                                    €/m²,38.4,Šnipiškės Veprių g.,https://www.aruodas.lt/butai-vilniuje-snipiskese-vepriu-g-butas-su-itin-aukstomis-lubomis-apie-1-3561345/?search_pos=9
90 700 €,3 122                                    €/m²,29.1,Žirmūnai Pulko g.,https://www.aruodas.lt/butai-vilniuje-zirmunuose-pulko-g-tai-naujas-hanner-projektas-verkiu-1-3594932/?search_pos=10
189 000 €,3 904                                    €/m²,48.4,Bajorai Bajorų kel.,https://www.aruodas.lt/butai-vilniuje-bajoruose-bajoru-kel-pastatai-ir-butai-registruoti-baigtumu-1-3580823/?search_pos=11
178 900 €,3 377                                    €/m²,53,Visoriai Mokslininkų g.,https://www.aruodas.lt/butai-vilniuje-visoriuose-mokslininku-g-1-3521096/?search_pos=12
186 200 €,4 985                                    €/m²,37.4,Antakalnis P. Vileišio g.,https://www.aruodas.lt/butai-vilniuje-antakalnyje-p-vileisio-g-naujas-projektas-antakalnio-sirdyje-jau-1-3535913/?search_pos=13
370 000 €,4 792                                    €/m²,77.2,Vilkpėdė Eigulių g.,https://www.aruodas.lt/butai-vilniuje-vilkpedeje-eiguliu-g-butai-jau-pastatyti-pagrindines-pirkimo-1-3580291/?search_pos=14
209 500 €,4 783                                    €/m²,43.8,Žirmūnai Tuskulėnų g.,https://www.aruodas.lt/butai-vilniuje-zirmunuose-tuskulenu-g-parduodamas-jaukus-butas-per-du-aukstus-1-3562019/?search_pos=15
131 000 €,3 861                                    €/m²,33.9,Burbiškės Burbiškių g.,https://www.aruodas.lt/butai-vilniuje-burbiskes-burbiskiu-g-miskingoje-vilniaus-miesto-dalyje-burbiskese-1-3607460/?search_pos=16
156 000 €,3 801                                    €/m²,41,Naujamiestis T. Ševčenkos g.,https://www.aruodas.lt/butai-vilniuje-naujamiestyje-t-sevcenkos-g-nu-wave-studijos-tipo-bustai-1-3504869/?search_pos=17
170 300 €,4 010                                    €/m²,42.5,Naujamiestis Naugarduko g.,https://www.aruodas.lt/butai-vilniuje-naujamiestyje-naugarduko-g-atraskite-naujamiescio-ir-vilkpedes-1-3600798/?search_pos=18
124 000 €,3 745                                    €/m²,33.1,Pašilaičiai Grigalaukio g.,https://www.aruodas.lt/butai-vilniuje-pasilaiciuose-grigalaukio-g--atviru-duru-dienos-nuo-lapkricio-d-iki-1-3605164/?search_pos=19
183 000 €,3 585                                    €/m²,51,Pašilaičiai Grigalaukio g.,https://www.aruodas.lt/butai-vilniuje-pasilaiciuose-grigalaukio-g--atviru-duru-dienos-nuo-lapkricio-d-iki-1-3605166/?search_pos=20
253 000 €,3 524                                    €/m²,71.8,Pašilaičiai Grigalaukio g.,https://www.aruodas.lt/butai-vilniuje-pasilaiciuose-grigalaukio-g--atviru-duru-dienos-nuo-lapkricio-d-iki-1-3605168/?search_pos=21
147 800 €,4 403                                    €/m²,33.6,Naujamiestis Panerių g.,https://www.aruodas.lt/butai-vilniuje-naujamiestyje-paneriu-g-pasinerkite-i-tris-kartus-zavesni-naujamiesti-1-3603296/?search_pos=22
90 800 €,3 122                                    €/m²,29.1,Žirmūnai Pulko g.,https://www.aruodas.lt/butai-vilniuje-zirmunuose-pulko-g-tai-naujas-hanner-projektas-verkiu-1-3587507/?search_pos=23
112 500 €,3 309                                    €/m²,34,Justiniškės Mozūriškių g.,https://www.aruodas.lt/butai-vilniuje-justiniskese-mozuriskiu-g-parduodamas-kambario-kv-m-butas-1-3599454/?search_pos=24
93 900 €,3 465                                    €/m²,27.1,Justiniškės Mozūriškių g.,https://www.aruodas.lt/butai-vilniuje-justiniskese-mozuriskiu-g-informacija-nr-a-plotas-m-1-3569347/?search_pos=25
,,Plotas,,
122 600 €,3 269                                    €/m²,37.5,Viršuliškės Juozo Rutkausko g.,https://www.aruodas.lt/butai-vilniuje-virsuliskese-juozo-rutkausko-g-virsuliskese-salia-jaukaus-miesto-skvero-1-3540672/?search_pos=26
129 900 €,4 412                                    €/m²,29.4,Justiniškės Mozūriškių g.,https://www.aruodas.lt/butai-vilniuje-justiniskese-mozuriskiu-g-1-3549200/?search_pos=27
116 500 €,3 206                                    €/m²,36.3,Justiniškės Kopenhagos g.,https://www.aruodas.lt/butai-vilniuje-justiniskese-kopenhagos-g-talino-modernus-komfortiskas-naujas-1-3599076/?search_pos=28
695 000 €,7 489                                    €/m²,92.8,Naujamiestis J. Basanavičiaus g.,https://www.aruodas.lt/butai-vilniuje-naujamiestyje-j-basanaviciaus-g-atviru-duru-diena-lapkricio-d-val-1-3572939/?search_pos=29
69 900 €,4 374                                    €/m²,16,Naujamiestis T. Ševčenkos g.,https://www.aruodas.lt/patalpa-viesbucio-vilniuje-naujamiestyje-t-sevcenkos-g-projekte-liko-tik-apartamentu-is-1-3525594/?search_pos=30
314 000 €,5 607                                    €/m²,56,Viršuliškės Viršilų g.,https://www.aruodas.lt/butai-vilniuje-virsuliskese-virsilu-g--naujos-statybos-butas-su-isskirtiniu-1-3572997/?search_pos=31
589 000 €,7 997                                    €/m²,73.7,Naujamiestis J. Basanavičiaus g.,https://www.aruodas.lt/butai-vilniuje-naujamiestyje-j-basanaviciaus-g-basanaviciaus-unikalus-istorine-verte-1-3601378/?search_pos=32
162 500 €,3 244                                    €/m²,50.1,Pilaitė Vydūno g.,https://www.aruodas.lt/butai-vilniuje-pilaiteje-vyduno-g-parduodamas-jaukus-kambariu-butas-pilaiteje-1-3592245/?search_pos=33
222 100 €,3 620                                    €/m²,61.4,Justiniškės Mozūriškių g.,https://www.aruodas.lt/butai-vilniuje-justiniskese-mozuriskiu-g-unikalioje-vilniaus-vietoje-ant-tvenkinio-1-3494947/?search_pos=34
595 000 €,7 455                                    €/m²,79.8,Naujamiestis Aguonų g.,https://www.aruodas.lt/butai-vilniuje-naujamiestyje-aguonu-g-senamiescio-riboje-aguonu-gatveje-1-3557074/?search_pos=35
110 000 €,2 444                                    €/m²,45,Pašilaičiai Girulių g.,https://www.aruodas.lt/butai-vilniuje-pasilaiciuose-giruliu-g-parduodamas-sviesus-ir-jaukus-kambariu-1-3579967/?search_pos=36
449 000 €,5 781                                    €/m²,77.7,Vilkpėdė Eigulių g.,https://www.aruodas.lt/butai-vilniuje-vilkpedeje-eiguliu-g-erdvus-butas-su-nuosava-terasa-pirmoje-eileje-1-3582089/?search_pos=37
297 000 €,5 877                                    €/m²,50.5,Žvėrynas Paribio g.,https://www.aruodas.lt/butai-vilniuje-zveryne-paribio-g-parduodamas-irengtas-kambariu-kvm-1-3598826/?search_pos=38
159 000 €,3 313                                    €/m²,48,Žirmūnai Žirmūnų g.,https://www.aruodas.lt/butai-vilniuje-zirmunuose-zirmunu-g-naujas-butas-jums-ramybes-apsuptyje-1-3607352/?search_pos=39
